,bug,dark,dragon,electric,fairy,fight,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,water,classfication,height_m,name,attack,pokedex_number,type1,type2,weight_kg,generation,is_legendary,image
0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,Seed Pokémon,0.7,Bulbasaur,49,1,grass,poison,6.9,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/001.png
1,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,Seed Pokémon,1.0,Ivysaur,62,2,grass,poison,13.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/002.png
2,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,Seed Pokémon,2.0,Venusaur,100,3,grass,poison,100.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png
3,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,Lizard Pokémon,0.6,Charmander,52,4,fire,fire,8.5,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/004.png
4,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,Flame Pokémon,1.1,Charmeleon,64,5,fire,fire,19.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/005.png
5,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,Flame Pokémon,1.7,Charizard,104,6,fire,flying,90.5,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png
6,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Tiny Turtle Pokémon,0.5,Squirtle,48,7,water,water,9.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/007.png
7,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Turtle Pokémon,1.0,Wartortle,63,8,water,water,22.5,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/008.png
8,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Shellfish Pokémon,1.6,Blastoise,103,9,water,water,85.5,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/009.png
9,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,Worm Pokémon,0.3,Caterpie,30,10,bug,bug,2.9,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/010.png
